,Title,Author,Vote,Views,Link,Body,Date release
10,#3 Citus Data - Phải chăng bạn có nên sử dụng nó hay không?,Ntech,9,1013,https://spiderum.com/bai-dang/Citus-Data-Phai-chang-ban-co-nen-su-dung-no-hay-khong-w0o," Lại tiếp tục với Citus Data và cơ sở dữ liệu phân tán, như bài viết trước thì có lẽ các bạn đã mường tượng ra được cái Citus data là gì rồi nhỉ, nếu...",2 tháng 12
11,KHOA HỌC MÀU SẮC - 02,Hưng Delnary,12,1058,https://spiderum.com/bai-dang/KHOA-HOC-MAU-SAC-02-w0b,"  -Part 02  -    MỤC ĐÍCH CỦA MÀU SẮC LÀ GÌ?   Mục đích của màu sắc là gì?  Bởi tính ra, trong số chúng ta có những người sinh ra với chứng mù màu,...",2 tháng 12
12,Hiểu về Bitcoin theo cách đơn giản,Chu Ngọc Cường,36,1354,https://spiderum.com/bai-dang/Hieu-ve-Bitcoin-theo-cach-don-gian-vzm," Bitcoin là một loại tiền tệ kỹ thuật số, còn được gọi là tiền điện tử mã hóa (crypto currency) đầu tiên và phổ biến nhất trên thế giới.  Nếu bạn...",1 tháng 12
13,"[Stoicism] - Dịch Seneca (74): Về bữa tiệc cuộc đời, và làm thế nào để hạnh phúc với nó",Andy Luong,20,1244,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-74-Ve-bua-tiec-cuoc-doi-va-lam-the-nao-de-hanh-phuc-voi-no-vw8,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",28 tháng 11
14,KHOA HỌC MÀU SẮC - 01,Hưng Delnary,18,1230,https://spiderum.com/bai-dang/MAU-SAC-Series-vtt,"  -Part 01-    TẠI SAO TA THẤY MÀU SẮC KHÔNG ĐƠN GIẢN?   Từ  khi sinh ra, cuộc sống của ta đã được bao quanh bởi màu sắc. Đó có thể là màu da của...",26 tháng 11
15,"Cùng Làm Firmware webcam - P.2 - Hoạch định, Tiến trình hệ thống và Init",Curly Rae Braces,15,1310,https://spiderum.com/bai-dang/Cung-Lam-Firmware-webcam-P2-Hoach-dinh-Tien-trinh-he-thong-va-Init-vs5, Việc làm firmware cho một thiết bị làm việc duy nhất như cái webcam chạy Linux về cơ bản không có gì đặc biệt khác gì làm một hệ điều hành như...,24 tháng 11
16,"[Stoicism] - Dịch Seneca (73): Về: Liệu triết gia có trở nên chống đối, khó trị hay...",Andy Luong,22,1446,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-73-Ve-Lieu-triet-gia-co-tro-nen-chong-doi-kho-tri-hay-khong-vcc,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",21 tháng 11
17,Thiết kế hệ thống phục vụ hàng triệu người dùng,Đức Thắng,16,2072,https://spiderum.com/bai-dang/Thiet-ke-he-thong-phuc-vu-hang-trieu-nguoi-dung-v7b, Hôm nay cuối tuần ở nhà rảnh rỗi không có gì làm nên lại ngứa tay viết một bài để chia sẻ lại hệ thống nhận diện user spam comment có thể phục vụ...,15 tháng 11
18,"[Stoicism] - Dịch Seneca (72): Về sự ngắn ngủi của cuộc đời, và tại sao ta cần phải dứt...",Andy Luong,26,1852,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-72-Ve-su-ngan-ngui-cua-cuoc-doi-va-tai-sao-ta-can-phai-dut-khoat-sang-suot-hon-trong-viec-lua-chon-thu-gi-de-lam-de-hoc-v6u,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",14 tháng 11
19,Computer Science: Registers and RAM,Jayson,11,1492,https://spiderum.com/bai-dang/Computer-Science-Registers-and-RAM-v4l,     RAM     Nếu bạn đã từng ở giữa một chiến dịch RPG dài trên bảng điều khiển của mình hoặc vượt qua một cấp độ khó trên Minesweeper trên máy tính...,11 tháng 11
20,"Suy luận nhân quả, câu hỏi lớn và câu hỏi nhỏ",Hachane,50,3888,https://spiderum.com/bai-dang/Suy-luan-nhan-qua-cau-hoi-lon-va-cau-hoi-nho-v2t," Thử tưởng tượng, bạn ném một quả bóng vào cửa sổ, cửa sổ vỡ. Vậy thì quả bóng là nguyên nhân làm vỡ cửa sổ?  Mr. X uống một viên thuốc, ba ngày sau,...",8 tháng 11
21,[Stoicism] - Dịch Seneca (71): Về lời khuyên tổng quát bạn sẽ cần đến trong cuộc đời!,Andy Luong,31,1906,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-71-Ve-loi-khuyen-tong-quat-ban-se-can-den-trong-cuoc-doi-v2e,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",7 tháng 11
22,Bạn gái của bạn hay đòi chia tay là cớ làm sao?,Tú Anh,41,3619,https://spiderum.com/bai-dang/Ban-gai-cua-ban-hay-doi-chia-tay-la-co-lam-sao-v26,"         Bài viết này dành cho những người có bạn gái nhưng cô này hay đòi chia tay, những người bạn gái hay đòi chia tay và bất cứ ai có cái gì đó...",7 tháng 11
23,#6 Bắt đầu chiến dịch - Phát hiện một số tính năng nhỏ với Manual Testing,Ntech,9,902,https://spiderum.com/bai-dang/Bat-dau-chien-dich-Phat-hien-mot-so-tinh-nang-nho-voi-Manual-Testing-v1s," Đầu tiên thì mình phải khẳng định đây là tính năng nhé! Không đùa đâu, nó là tính năng thật sự mà. Xin phép admin mình được báo cáo các tính năng như...",6 tháng 11
24,#5 Chiến lược kiểm thử hiệu năng Spiderum - Performance tesing thật vi diệu,Ntech,13,1048,https://spiderum.com/bai-dang/5-Chien-luoc-kiem-thu-hieu-nang-Spiderum-Performance-tesing-that-vi-dieu-v1f, Trước khi đi tiếp phần chiến lược kiểm thử hiệu suất thì hãy cùng xem nhiệm vụ chính của bước này là gì nhé!            - Quyết định xem nên sử dụng...,5 tháng 11
25,#4 Chiến lược kiểm thử hiệu năng Spiderum - Đừng vội! hãy hiểu bản chất vấn đề với API...,Ntech,12,895,https://spiderum.com/bai-dang/4-Chien-luoc-kiem-thu-hieu-nang-Spiderum-Dung-voi-hay-hieu-ban-chat-van-de-voi-API-Testing-v0o, Tiếp tục bài viết vọc phá spiderum nhé!  Bài trước mình có nói sơ qua về chiến lược Manual Test Overview để nắm được kịch bản chức năng của spiderum...,4 tháng 11
26,Chuột thấu cảm,Elbe040,50,1546,https://spiderum.com/bai-dang/Chuot-thau-cam-uzl,"          Trong    một bài báo    được đăng trên tạp chí SCIENCE,   các tác giả từ đại học Chicago chỉ ra rằng thấu cảm, hay các hành...",2 tháng 11
27,#3 Chiến lược kiểm thử hiệu năng Spiderum - Kịch bản chức năng,Ntech,7,765,https://spiderum.com/bai-dang/Chien-luoc-kiem-thu-hieu-nang-Spiderum-Kich-ban-chuc-nang-uzg," Bài viết trước mình đã giới thiệu về performance testing, một kỹ thuật nho nhỏ trong 1 thế giới kiểm thử rộng lớn. Bạn có thể đọc lại tại    ...",2 tháng 11
28,Viết lại mã sự sống,Tiểu Long Nhân,48,1235,https://spiderum.com/bai-dang/Viet-lai-ma-su-song-tmw,  Giải Nobel Hóa học năm 2020 vinh danh Tiến sĩ Jennifer Doudna (người Mỹ) - người đã tìm ra một công cụ có thể chỉnh sửa gen di truyền bất kỳ. Công...,1 tháng 11
29,"[Stoicism] - Dịch Seneca (70): Về muôn vàn cách chết, và tại sao 'thà chết trong còn hơn...",Andy Luong,24,1048,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-70-Ve-muon-van-cach-chet-va-tai-sao-tha-chet-trong-con-hon-song-duc-s9t,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",31 tháng 10
30,Computer Science: How Computers Calculate - the ALU,Jayson,21,839,https://spiderum.com/bai-dang/Computer-Science-How-Computers-Calculate-the-ALU-s95,"     ALU    Biểu diễn và lưu trữ số là một chức năng quan trọng của máy tính, nhưng mục tiêu thực sự là tính toán hoặc thao tác các số theo cách có...",30 tháng 10
31,#2 Performance testing - Nó là cái quái gì mà lại dùng nó để vọc phá spiderum,Ntech,7,762,https://spiderum.com/bai-dang/Performance-testing-No-la-cai-quai-gi-ma-lai-dung-no-de-voc-pha-spiderum-s9b, Trước khi bắt đầu vào chiến dịch vọc phá spiderum thì bài viết này nhằm tổng hợp và định nghĩa một số khái niệm về testing cho những anh chị em ngoại...,30 tháng 10
32,[Technical] Microservices Architecture - Kiến trúc Microservices,Ntech,9,764,https://spiderum.com/bai-dang/Technical-Microservices-Architecture-Kien-truc-Microservices-s8o," Microservice là một loại kiến trúc phần mềm hướng dịch vụ, tập trung vào việc xây dựng một loạt các thành phần tự quản lý tạo nên ứng dụng. Không...",29 tháng 10
33,Một vài tìm hiểu về khái niệm chính trị và tham gia chính trị,Luan Phan,10,1041,https://spiderum.com/bai-dang/Mot-vai-tim-hieu-ve-khai-niem-chinh-tri-va-tham-gia-chinh-tri-s7g,"  Lý thuyết về chính trị   Chính trị, hiểu theo nghĩa rộng nhất của nó là hoạt động mà thông qua con người tạo ra, lưu giữ và sửa đổi những nguyên tắc...",27 tháng 10
34,Computer Science: Binary - Cách máy tính lưu trữ và biểu diễn dữ liệu số,Jayson,17,934,https://spiderum.com/bai-dang/Computer-Science-Binary-Cach-may-tinh-luu-tru-va-bieu-dien-du-lieu-so-s7c,"          Trong Boolean algebra, chỉ có hai giá trị nhị phân: true và false, nhưng nếu chúng ta chỉ có hai giá trị, làm thế nào trên thế giới chúng ta...",27 tháng 10
35,Chọn công nghệ nào khi xử lý dữ liệu ?,Đức Thắng,14,1041,https://spiderum.com/bai-dang/Chon-cong-nghe-nao-khi-xu-ly-du-lieu-s70," Hiện nay, tôi thấy nhiều người, nhiều doanh nghiệp luôn ""nổ"" rằng mình xử lý dữ liệu lớn, xử lý dữ liệu với các công nghệ hàng đầu. Trong khi, dữ...",26 tháng 10
36,[Stoicism] - Dịch Seneca (69): Về tác động của việc di chuyển thường xuyên đến tâm trí ,Andy Luong,23,1047,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-69-Ve-tac-dong-cua-viec-di-chuyen-thuong-xuyen-den-tam-tri-s5v,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",25 tháng 10
37,"[Stoicism] - Dịch Seneca (68): Về: Tại sao bạn nên từ bỏ danh phận quyền lực, và thái độ...",Andy Luong,19,1332,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-68-Ve-Tai-sao-ban-nen-tu-bo-danh-phan-quyen-luc-va-thai-do-dung-dan-trong-viec-tu-bo-ay-s5a,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",24 tháng 10
38,Computer Science:  Boolean Logic & Logic Gates,Jayson,19,1207,https://spiderum.com/bai-dang/Computer-Science-Boolean-Logic-and-Logic-Gates-s41,          Link bài viết 1:  https://spiderum.com/bai-dang/Computer-Science-Early-Computing-rgw   Link bài viết 2: ...,22 tháng 10
39,"Dịch: Blockchain, một giải pháp tuyệt vời cho hầu như không một cái gì cả",Nguyễn Thọ,79,7210,https://spiderum.com/bai-dang/Dich-Blockchain-mot-giai-phap-tuyet-voi-cho-hau-nhu-khong-mot-cai-gi-ca-s3r,  Nguồn:   https://thecorrespondent.com/655/blockchain-the-amazing-solution-for-almost-nothing/86649455475-f933fe63               Note: ...,21 tháng 10
40,"[Stoicism] - Dịch Seneca (67): Về những hoàn cảnh nghiệt ngã, liệu chúng có đáng cho ta ao...",Andy Luong,24,1370,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-67-Ve-nhung-hoan-canh-nghiet-nga-lieu-chung-co-dang-cho-ta-ao-uoc-co-duoc-trong-doi-s02,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",17 tháng 10
41,"Thuật toán - liệu có ma thuật, phức tạp và bí ẩn như mọi người vẫn nghĩ?",Ntech,22,1675,https://spiderum.com/bai-dang/Thuat-toan-lieu-co-ma-thuat-phuc-tap-va-bi-an-nhu-moi-nguoi-van-nghi-run," Thật buồn cười khi dạo này đi đâu cũng nghe thấy thuật toán này, thuật toán nọ.  Thời đại 4.0, đâu đâu cũng là công nghệ, đâu đâu cũng đều xuất hiện...",11 tháng 10
42,[Stoicism] - Dịch Seneca (66): Về sự ngang hàng giữa những phẩm cách và những thứ thực sự...,Andy Luong,19,1142,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-66-Ve-su-ngang-hang-giua-nhung-pham-cach-va-nhung-thu-thuc-su-tot-dep-cua-con-nguoi-rug,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",11 tháng 10
43,HỌC NGÔN NGỮ HỌC TẠI VIỆT NAM: CHỈ BIẾT TIẾNG VIỆT THÌ CÓ ĐỦ HAY KHÔNG?,Phong Hinh,9,1386,https://spiderum.com/bai-dang/HOC-NGON-NGU-HOC-TAI-VIET-NAM-CHI-BIET-TIENG-VIET-THI-CO-DU-HAY-KHONG-ruw,"  https://www.youtube.com/watch?v=UraVwjSIKO0   Có cơ may nào mà: một nhà ngữ học, họ biết tiếng mẹ đẻ thôi, đã là đủ rồi, hay không?  Ví như học Việt...",11 tháng 10
44,Computer Science: Electronic Computing,Jayson,18,1348,https://spiderum.com/bai-dang/Computer-Science-Electronic-Computing-rti,          Tiếp tục series computer science chúng ta sẽ thử tìm hiểu về Electronic Computing nha.   Link bài viết 1:...,10 tháng 10
45,Tại sao mình sử dụng Linux,Curly Rae Braces,106,2941,https://spiderum.com/bai-dang/Tai-sao-minh-su-dung-Linux-rsb,"            Hôm nay có tin 100% trong số top 500 máy tính mạnh nhất thế giới đều chạy Linux, không cái nào chạy Mac hay Windows cả. Linux là một hệ...",9 tháng 10
46,[Stoicism] - Dịch Seneca (65): Về căn nguyên và khởi nguồn của vạn vật!,Andy Luong,29,1742,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-65-Ve-can-nguyen-va-khoi-nguon-cua-van-vat-rot,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",3 tháng 10
47,"Quora: Nếu Thái Lan muốn tiến tới xây dựng kênh đào Kra, liệu World Bank (Ngân Hàng Thế...",Vĩnh Linh,38,2175,https://spiderum.com/bai-dang/Quora-Neu-Thai-Lan-muon-tien-toi-xay-dung-kenh-dao-Kra-lieu-World-Bank-Ngan-Hang-The-Gioi-co-tai-tro-cho-ke-hoach-do-khong-rl5,"             Câu hỏi : Nếu Thái Lan muốn tiến tới xây dựng kênh đào Kra, liệu World Bank (Ngân Hàng Thế Giới) có tài trợ cho kế hoạch đó không?   Trả...",28 tháng 9
48,Luddism - chủ nghĩa bài công nghệ và tính tất yếu của sự tiến bộ,Very Krazy Hooman Ultraist,43,1910,https://spiderum.com/bai-dang/Luddism-chu-nghia-bai-cong-nghe-va-tinh-tat-yeu-cua-su-tien-bo-rkr,           Bài viết được chia sẻ lại từ group  Hội thích truyện Sci Fi (khoa học viễn tưởng/giả tưởng)  với sự cho phép của chủ bài viết kiêm admin...,28 tháng 9
49,Data Engineering trong năm 2020 (Tác giả: Maria Patrakova),Students Who Code,9,1523,https://spiderum.com/bai-dang/Ky-Thuat-Du-Lieu-trong-nam-2020-rk9,"     Source:  Servion.com      Những công cụ và công nghệ xử lí dữ liệu đang phát triển với tốc độ đáng kinh ngạc, kéo theo đó, bản...",27 tháng 9
50,"[Stoicism] - Dịch Seneca (64): Về giá trị của triết, và về những thứ thế hệ chúng ta hay...",Andy Luong,24,1458,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-64-Ve-gia-tri-cua-triet-va-ve-nhung-thu-the-he-chung-ta-hay-sau-nay-co-the-tiep-tuc-tiep-noi-con-duong-thieng-lieng-ay-rja,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",26 tháng 9
51,Dịch: Giải Đáp Những Lầm Tưởng Về Xăng E85 Và Ethanol: 16 Điều Bạn Cần Biết,Nguyễn Thọ,26,1286,https://spiderum.com/bai-dang/Dich-Giai-Dap-Nhung-Lam-Tuong-Ve-Xang-E85-Va-Ethanol-16-Dieu-Ban-Can-Biet-rhp, Bài viết gốc:  https://www.enginelabs.com/engine-tech/engine/clearing-up-myths-about-e85-and-ethanol-16-things-you-need-to-know/   Tác giả: Jeff...,24 tháng 9
52,"Lợi ích của AI trong Phát triển Ứng dụng, Game Di động
",adam Vinh,11,899,https://spiderum.com/bai-dang/Loi-ich-cua-AI-trong-Phat-trien-Ung-dung-Game-Di-dong-rhn,"  Trí tuệ nhân tạo  (AI), máy học (M achine learning ) đã được chứng minh là một công nghệ đầy hứa hẹn trong những năm qua. Nó đã được áp dụng rộng...",24 tháng 9
53,Computer Science: Early Computing,Jayson,21,1288,https://spiderum.com/bai-dang/Computer-Science-Early-Computing-rgw,          Đây là series đầu tiên của mình trên spiderum và cũng là bài viết đầu tiên của mình trên spiderum mặc dù đã tham gia cộng đồng này được hơn...,22 tháng 9
54,"[Stoicism] - Dịch Seneca (63): Lời chia buồn khi người bạn của bạn qua đời, và thái độ ta...",Andy Luong,23,1228,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-63-Doi-dong-chia-buon-khi-nguoi-ban-cua-ban-qua-doi-va-thai-do-ta-nen-co-voi-hoan-canh-dau-long-nay-rem,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",20 tháng 9
55,KHI CÂY CỎ XUNG TRẬN,Lưu Vũ,16,769,https://spiderum.com/bai-dang/KHI-CAY-CO-XUNG-TRAN-rds,"  Trong cuộc chiến chống lại côn trùng, thực vật đã phát triển một hệ thống vũ khí hóa học phòng thủ đầy tinh tế.   So với cuộc sống tất bật vội vã...",19 tháng 9
56,"[Stoicism] - Dịch Seneca (62): Về những lời phàn nàn thiếu thốn thời gian, và về một người...",Andy Luong,17,1114,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-62-Ve-nhung-loi-phan-nan-thieu-thon-thoi-gian-va-ve-mot-nguoi-ban-dang-nguong-mo-rdt,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",19 tháng 9
57,Khí hậu mà chúng ta đang sống được định hình từ khi nào?,San San,14,1175,https://spiderum.com/bai-dang/Khi-hau-ma-chung-ta-dang-song-duoc-dinh-hinh-tu-khi-nao-r8z," Cách đây 20.000 năm, phần lớn diện tích đất liền Việt Nam được bao phủ bởi những cánh đồng cỏ rộng mênh mông, khí hậu nóng ôn hòa, lượng mưa ít và độ...",13 tháng 9
58,Có phải cứ có nhiều dữ liệu thì được gọi là Dữ liệu lớn?,Hoàng Vũ Anh,29,1533,https://spiderum.com/bai-dang/Co-phai-cu-co-nhieu-du-lieu-thi-duoc-goi-la-Du-lieu-lon-r8o," 
           Cũng lâu quá rồi không có thời gian viết bài, dạo gần đây công ty mình có lập một cái blog chuyên viết bài về công nghệ, sếp có giao chỉ...",13 tháng 9
59,[Stoicism] - Dịch Seneca (61): Về: Làm thế nào để có thể bình thản đón nhận cái chết,Andy Luong,22,1163,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-61-Ban-than-men-toi-dat-toi-cai-hieu-rang-doi-minh-cung-dai-du-roi-Hoan-toan-hai-long-toi-doi-cho-cai-chet-cua-minh-r81,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",12 tháng 9
60,Tại sao mèo ngủ nhiều?,Nim Dim,16,1145,https://spiderum.com/bai-dang/Tai-sao-meo-ngu-nhieu-r8b," Là một trong những loài động vật gần gũi với con người nhất. Là loài động vật có thể tồn tại ở dạng lỏng. Không phải là  ""chó""  nhưng lại rất ...",12 tháng 9
61,Những chiếc khuyên tai vượt biển,San San,12,982,https://spiderum.com/bai-dang/Nhung-chiec-khuyen-tai-vuot-bien-r6o,"         Khuyên tai ba mấu (ling ling 'o)    Mỗi di vật sẽ tự kể câu chuyện của riêng nó, đó là điều mà người viết bài này luôn tâm đắc...",10 tháng 9
62,Xẻng đá lớn và sự phát triển tín ngưỡng thời đá mới ở Lĩnh Nam,San San,12,697,https://spiderum.com/bai-dang/Nhung-chiec-xeng-khong-dung-de-xuc-r6n," Xẻng gì mà không dùng để xúc...  Đầu tiên, người viết thành thật xin lỗi vì cái tít bài tương đối mị dân này. Nếu bạn đã click vào đây, thì thú thật...",10 tháng 9
63,Elon Musk - Những cuộc đối thoại và quan điểm,hoangdinhvan,29,1820,https://spiderum.com/bai-dang/Elon-Musk-Nhung-cuoc-doi-thoai-va-quan-diem-r52,"     Musk tại ngày tuyển sinh của Hiệp hội Hoàng gia London tháng 7 năm 2018       Người sáng lập, Giám đốc điều hành, Nhà thiết kế chính của SpaceX ...",8 tháng 9
64,Spiderum Youtube (P25): Ngủ bao nhiêu mới là đủ?,Spiderum_Youtube,10,1235,https://spiderum.com/bai-dang/Spiderum-Youtube-P25-Ngu-bao-nhieu-moi-la-du-r46," Chào mọi người, lại là chúng mình, team Youtube của Spiderum đây!!!          Hãy cùng chúng mình điểm qua các clips đã lên sóng trong tuần vừa rồi...",7 tháng 9
65,"[Stoicism] - Dịch Seneca (60): Về những mong cầu của người thân cho ta, và về lòng tham vô...",Andy Luong,31,1511,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-60-Ve-nhung-mong-cau-cua-nguoi-than-cho-ta-va-ve-long-tham-vo-day-cua-con-nguoi-r29,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",5 tháng 9
66,Làm Firmware nguồn mở cho Webcam chất lượng cao - P.1,Curly Rae Braces,51,1580,https://spiderum.com/bai-dang/Lam-Firmware-nguon-mo-cho-Webcam-chat-luong-cao-P1-qzu,         Dạo này do ở nhà nhiều nên mình hay phải Zoom. Mình đang dùng một máy Dell XPS 13 chạy Ubuntu để làm những việc cá nhân. Vấn đề là máy tính...,3 tháng 9
67,"[Stoicism] - Dịch Seneca (59): Về niềm hạnh phúc thực thụ trong đời, và về những lầm lạc...",Andy Luong,39,1849,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-59-Ve-niem-hanh-phuc-thuc-thu-trong-doi-va-ve-nhung-lam-lac-hay-thieu-khon-ngoan-khien-nguoi-ta-khong-the-co-duoc-no-qw4,"   Lời tựa  :   
               
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về triết...",30 tháng 8
68,Điều gì xảy ra với các ứng dụng theo dõi tiếp xúc virus Covid?,TungNguyen,7,1029,https://spiderum.com/bai-dang/Dieu-gi-xay-ra-voi-cac-ung-dung-theo-doi-tiep-xuc-virus-Covid-qv5,          Contact tracing - Một phương thức kiểm tra xem ai đã bị nhiểm Covid- 19 và theo dõi xem những ai có thể đã tiếp xúc với người bệnh đó để họ...,29 tháng 8
